"","X.10lgP","Mass","ppm","m.z","RT","Start","End","diff_range"
"1",97.27,3310.5269,3.9,1104.5205,16.5,0.9619,0.9873,0.0254
"2",97.27,3310.5269,3.9,1104.5205,16.5,0.9619,0.9873,0.0254
"3",91.38,2790.3218,-1.3,931.1133,15.45,0.8674,0.8928,0.0254000000000001
"4",88.44,2638.2029,-4.2,1320.1031,13.03,1.4199,1.4456,0.0257000000000001
"5",87.84,1930.1615,-1,966.0871,17.91,1.0627,1.0882,0.0255000000000001
"6",87.8,2405.1797,-1,602.3016,9.07,0.8258,0.8511,0.0253
"7",87.48,3056.5667,2.4,1019.8652,17.79,0.9395,0.965,0.0255
"8",87,3010.5625,-1.8,753.6465,16.41,0.9294,0.9548,0.0254
"9",86.95,1959.9174,5.5,980.9714,14.6,1.0016,1.0271,0.0254999999999999
"10",86.78,2271.1343,5.5,1136.5807,13.98,1.0719,1.0974,0.0254999999999999
"11",86.05,2032.0476,1,1017.0321,15.22,1.0536,1.0791,0.0254999999999999
"12",85.93,2174.1106,3.5,1088.0664,16.77,1.0954,1.1209,0.0255000000000001
"13",85.85,2053.8066,-0.1,1027.9105,12.43,1.0159,1.0413,0.0253999999999999
"14",85.8,2006.8857,7,1004.4572,16.02,0.9996,1.025,0.0253999999999999
"15",85.43,2271.0879,-4.2,758.0334,11.18,0.7963,0.8217,0.0254
"16",85.1,2274.2695,7.2,1138.1503,17.91,1.128,1.1536,0.0256000000000001
"17",84.91,2355.1494,-1.8,786.0557,14.05,0.8572,0.8826,0.0254000000000001
"18",84,2159.998,1.1,721.0074,10.74,0.7771,0.8024,0.0253
"19",83.93,1693.6927,-5.3,847.8492,5.31,0.9273,0.9527,0.0254
"20",83.87,2179.9329,-2.8,1090.9707,15.04,1.0719,1.0974,0.0254999999999999
"21",83.81,2751.4595,-4.1,1376.7313,17.07,1.2927,1.3183,0.0256000000000001
"22",83.68,2346.0693,1.2,1174.0433,17.45,1.1362,1.1617,0.0254999999999999
"23",83.66,2262.1104,2.5,755.046,15.17,0.8227,0.8481,0.0254
"24",83.56,2275.0652,12.2,759.3716,10.22,0.8481,0.8735,0.0254000000000001
"25",83.5,2446.1838,-3.3,816.3992,15.29,0.8471,0.8725,0.0254000000000001
"26",83.03,2227.0181,1.2,1114.5177,14.35,1.1005,1.126,0.0254999999999999
"27",82.85,1895.7856,14.8,632.9452,8.05,0.7659,0.7913,0.0254
"28",82.81,2319.1077,-1.1,1160.5598,13.09,1.1413,1.1668,0.0255000000000001
"29",82.78,2226.2083,1.2,1114.1128,17.93,1.0893,1.1148,0.0255000000000001
"30",82.72,2427.1125,-0.1,607.7853,13.71,0.7852,0.8105,0.0253
"31",82.56,2101.8745,8.8,1051.9537,2.8,0.969,0.9945,0.0255000000000001
"32",82.44,2199.1172,2.1,734.0479,12.84,0.8217,0.8471,0.0254
"33",82.27,1916.0254,5.3,959.0251,15.49,1.0179,1.0434,0.0255000000000001
"34",82.2,2063.9507,-2.1,1032.9805,11.04,0.9996,1.025,0.0253999999999999
"35",82.16,2327.9885,0.6,1165.0022,12.77,1.0842,1.1097,0.0254999999999999
"36",82.12,2165.0891,6.5,1083.5588,16.66,1.0893,1.1148,0.0255000000000001
"37",82.04,2188.8979,-4.1,1095.4518,9.76,1.0067,1.0322,0.0255000000000001
"38",81.93,2078.0103,-11.8,1040.0001,17.39,1.2077,1.2333,0.0256000000000001
"39",81.86,3182.6069,-4.6,1061.8713,16.04,1.1342,1.1597,0.0254999999999999
"40",81.86,1789.8846,7.9,895.9567,15.4,0.969,0.9945,0.0255000000000001
"41",81.56,1955.0701,7.1,652.7019,10.76,0.8532,0.8785,0.0253
"42",81.25,2019.0636,0,1010.5391,14.56,1.0179,1.0434,0.0255000000000001
"43",81.15,2059.0508,-6.2,1030.5262,17.41,1.0648,1.0903,0.0255000000000001
"44",81.15,2010.9867,5.1,1006.5058,14.67,1.0454,1.0709,0.0254999999999999
"45",80.93,2092.0486,1,1047.0326,18.07,1.0699,1.0954,0.0254999999999999
"46",80.91,3311.4119,-1.8,1104.8092,10.31,0.907,0.9324,0.0254
"47",80.88,2015.98,7.9,1009.0052,15.2,1.0434,1.0689,0.0254999999999999
"48",80.75,1971.8997,-0.1,986.957,16.88,1.022,1.0474,0.0254000000000001
"49",80.71,1848.8967,2.9,925.4583,18.04,1.0148,1.0403,0.0255000000000001
"50",80.66,1865.7108,2.9,933.8654,8.37,0.9517,0.9772,0.0255
"51",80.46,2065.9526,-1.2,689.6573,14.67,0.8126,0.8379,0.0253
"52",80.38,1767.9301,1.8,884.9739,16.98,0.9884,1.0138,0.0254000000000001
"53",80.33,1863.8971,9.9,932.9651,17.2,1.0108,1.0362,0.0254000000000001
"54",80.23,2078.0278,-3.4,1040.0177,15.56,1.1362,1.1617,0.0254999999999999
"55",80.16,2047.0156,1.9,683.3471,10.12,0.8024,0.8278,0.0254
"56",80.15,1758.8069,1.7,880.4122,17.82,0.9772,1.0026,0.0254
"57",80.14,1867.9679,5.6,934.9965,17.5,1.1382,1.1638,0.0255999999999998
"58",79.8,1840.8843,6,921.455,16.43,1.0271,1.0525,0.0254000000000001
"59",79.76,1803.9366,7.4,902.9823,16.25,0.9884,1.0138,0.0254000000000001
"60",79.75,1882.9384,-5.5,942.4713,17.02,1.1362,1.1617,0.0254999999999999
"61",79.65,2108.0056,8.6,1055.0192,14.51,1.0434,1.0689,0.0254999999999999
"62",79.59,2514.3767,6,839.1379,15.99,0.8613,0.8867,0.0254000000000001
"63",79.29,1965.9279,0.6,983.9718,7.2,0.9853,1.0108,0.0255
"64",79.16,1849.8815,4.3,925.952,16.22,1.0097,1.0352,0.0254999999999999
"65",79.15,2481.394,0.6,1241.7051,18.34,1.2231,1.2487,0.0255999999999998
"66",79,1687.8165,-3.3,844.9128,8.32,0.9904,1.0159,0.0255000000000001
"67",78.93,1906.9558,3.1,954.4881,15.74,1.0057,1.0311,0.0253999999999999
"68",78.77,1738.7281,1.8,870.3729,11.95,0.9639,0.9894,0.0255
"69",78.74,2143.0327,3.9,715.3543,11.29,0.7781,0.8034,0.0253
"70",78.74,1742.812,-2.5,872.4111,18,0.97,0.9955,0.0255000000000001
"71",78.69,2106.9746,1.6,703.3333,12.29,0.7568,0.7822,0.0254
"72",78.67,3125.4319,-4.1,1042.8136,12.98,0.9222,0.9477,0.0255
"73",78.5,1843.9679,1.5,922.9926,16.27,1.0097,1.0352,0.0254999999999999
"74",78.33,2599.1826,11.6,867.4116,13.89,0.8532,0.8785,0.0253
"75",78.33,2167.0334,-10.2,723.3444,15.81,0.7903,0.8156,0.0253
"76",78.28,2178.0818,-1.9,727.0331,11.79,0.7933,0.8187,0.0254
"77",78.26,1953.8778,1.4,977.9475,14.83,1.026,1.0515,0.0255000000000001
"78",78.2,1948.9377,5.9,975.4819,14.17,1.0128,1.0383,0.0255000000000001
"79",78.17,2545.2812,-4.5,849.4305,16.59,0.8349,0.8603,0.0254
"80",78.15,1779.8275,-1,890.9202,12.34,0.9416,0.967,0.0254
"81",78.1,1897.913,-1.6,949.9623,8.37,1.0291,1.0546,0.0255000000000001
"82",78.09,1968.9275,-9.1,985.4621,9.14,1.0087,1.0342,0.0255000000000001
"83",78.08,2364.2324,17.2,789.0983,16.27,0.9558,0.9812,0.0254
"84",78.03,1831.009,2.7,916.5143,17.86,1.0199,1.0454,0.0255000000000001
"85",77.99,1770.7124,-4.8,886.3593,9.9,0.9324,0.9578,0.0254
"86",77.94,2452.144,5.9,818.3934,10.24,0.8187,0.844,0.0253
"87",77.94,2314.2102,6.2,772.4155,14.78,0.842,0.8674,0.0254
"88",77.92,2084.9861,-2.2,1043.498,12.5,1.0291,1.0546,0.0255000000000001
"89",77.86,1548.6699,-3.2,775.3398,6.01,0.8694,0.8948,0.0254000000000001
"90",77.75,2169.9021,10,724.3152,8.55,0.7862,0.8116,0.0254
"91",77.7,1941.9067,17.2,971.9774,15.2,1.0148,1.0403,0.0255000000000001
"92",77.61,2068.8928,-2.2,1035.4514,13.44,1.0383,1.0638,0.0255000000000001
"93",77.61,1774.6345,3.6,888.3277,8.71,0.9416,0.967,0.0254
"94",77.49,1627.7802,-4.2,814.8939,7.95,1.0067,1.0322,0.0255000000000001
"95",77.4,1921.9819,4.4,962.0024,15.47,1.1301,1.1556,0.0254999999999999
"96",77.34,2276.0308,6.5,1139.03,17.84,1.0913,1.1168,0.0255000000000001
"97",77.33,1907.8748,10.4,954.9545,14.92,0.9894,1.0148,0.0254
"98",77.19,1854.8274,11.2,928.4314,14.42,0.9619,0.9873,0.0254
"99",77.19,2214.0627,6.5,1108.0459,16.11,1.0903,1.1158,0.0254999999999999
"100",77.15,2026.0443,0.2,1014.0296,16.22,1.0403,1.0658,0.0255000000000001
"101",77.13,2120.0935,-6.8,707.7003,15.1,0.8247,0.8501,0.0254
"102",77.09,2184.8752,12.4,1093.4585,12.98,1.0169,1.0423,0.0254000000000001
"103",77.09,1972.9452,-4.7,987.4753,16.54,1.0067,1.0322,0.0255000000000001
"104",77.08,2752.3213,10.1,689.0945,15.2,0.843,0.8684,0.0254
"105",77.06,1639.9045,3.8,820.9626,11.13,0.97,0.9955,0.0255000000000001
"106",77.04,1849.9209,3.4,925.9708,16.66,0.9792,1.0047,0.0255
"107",76.98,1756.8778,-4.5,879.4423,9.03,0.9599,0.9853,0.0254
"108",76.96,2405.9829,-2.5,802.9996,13.46,0.7994,0.8247,0.0253
"109",76.95,1786.7402,0.8,894.3781,15.04,0.9527,0.9782,0.0255
"110",76.9,1788.8213,0.1,895.418,4.67,0.9894,1.0148,0.0254
"111",76.87,2342.0342,4.4,1172.0295,13.62,1.077,1.1025,0.0255000000000001
"112",76.84,1988.8251,-4.1,995.4158,16.04,1.0179,1.0434,0.0255000000000001
"113",76.84,1983.8591,-1.7,992.9351,11.52,0.9884,1.0138,0.0254000000000001
"114",76.82,1484.6177,2.3,743.3178,8.46,0.9039,0.9294,0.0255
"115",76.81,2002.8765,0.2,1002.4457,13.8,1.0148,1.0403,0.0255000000000001
"116",76.78,2543.2502,-4.3,1272.627,14.92,1.1515,1.1771,0.0256000000000001
"117",76.77,1755.9559,3,878.9879,15.77,0.9894,1.0148,0.0254
"118",76.76,2068.9199,-0.8,1035.4664,15.17,1.025,1.0505,0.0255000000000001
"119",76.74,2354.0823,7.9,785.7076,17.82,0.8816,0.907,0.0254
"120",76.71,1906.8883,5.6,954.4567,14.56,0.9955,1.021,0.0254999999999999
"121",76.68,1797.8896,7.5,899.9589,11.04,1.0546,1.0801,0.0255000000000001
"122",76.6,1879.8081,-4.1,940.9075,13.83,0.9873,1.0128,0.0255
"123",76.54,1832.9125,1.7,917.4651,11.52,0.9894,1.0148,0.0254
"124",76.47,2588.3809,-3.5,1295.1932,17.57,1.1965,1.2221,0.0256000000000001
"125",76.46,1645.7294,2,823.8736,16.06,0.9405,0.966,0.0255
"126",76.46,2156.0784,-1.3,1079.045,17.82,1.0729,1.0984,0.0255000000000001
"127",76.45,2021.9792,1.6,1011.9985,14.44,1.0169,1.0423,0.0254000000000001
"128",76.44,1850.9296,1,926.473,14.97,0.9955,1.021,0.0254999999999999
"129",76.41,2179.0942,-5.3,1090.5486,12.23,1.0699,1.0954,0.0254999999999999
"130",76.4,2084.0762,-1.5,695.6983,11.36,0.8207,0.8461,0.0254
"131",76.31,2110.0066,4.7,1056.0155,14.08,1.173,1.1985,0.0254999999999999
"132",76.29,1846.7897,-0.7,924.4014,13.46,0.9792,1.0047,0.0255
"133",76.28,2359.1577,0.8,1180.587,16.61,1.1852,1.2108,0.0256000000000001
"134",76.28,2739.2544,1.2,914.0931,16.57,0.9446,0.97,0.0254
"135",76.2,2115.9443,-9,1058.97,11.02,1.0077,1.0332,0.0254999999999999
"136",76.17,1740.8427,4.4,871.4324,17.32,0.9721,0.9975,0.0254000000000001
"137",76.15,1751.855,1.2,876.9358,9.94,1.0118,1.0373,0.0255000000000001
"138",76.15,2042.9181,-8.9,1022.4573,13.64,1.0128,1.0383,0.0255000000000001
"139",76.12,1883.9225,3.9,942.9722,15.84,1.0067,1.0322,0.0255000000000001
"140",76.06,1774.8018,-0.7,888.4075,16.84,0.969,0.9945,0.0255000000000001
"141",76.05,1832.8845,4.6,611.9716,12.98,0.7913,0.8166,0.0253
"142",76.04,1786.8995,-0.7,894.4564,12.13,0.9741,0.9996,0.0255000000000001
"143",76,1791.8712,2.5,896.9451,17.57,0.9761,1.0016,0.0255000000000001
"144",75.97,2050.9517,-0.8,1026.4823,13.71,1.021,1.0464,0.0254000000000001
"145",75.9,2464.2849,1.9,822.4371,16.59,0.8288,0.8542,0.0254
"146",75.9,1932.9515,1,645.3251,14.62,0.8187,0.844,0.0253
"147",75.9,2039.98,9.3,1021.0068,15.47,1.0148,1.0403,0.0255000000000001
"148",75.89,2290.1931,3.1,764.4073,15.45,0.8603,0.8857,0.0254000000000001
"149",75.87,1960.9717,-2.2,981.491,14.17,1.025,1.0505,0.0255000000000001
"150",75.8,1993.8766,3.8,997.9494,13.92,1.0097,1.0352,0.0254999999999999
"151",75.78,1687.8682,11.1,844.9507,14.28,1.0801,1.1056,0.0254999999999999
"152",75.74,1774.8485,2.5,888.4338,6.13,0.9558,0.9812,0.0254
"153",75.71,1891.8192,-1.7,946.9153,11.18,1.0322,1.0576,0.0254000000000001
"154",75.65,1958.8705,5.8,980.4482,9.48,0.9924,1.0179,0.0255000000000001
"155",75.64,2012.1094,-4.4,671.7075,14.97,0.7822,0.8075,0.0253
"156",75.64,2045.0527,2.2,1023.5359,15.22,1.0536,1.0791,0.0254999999999999
"157",75.63,1865.7173,-3.4,933.8627,8.16,0.9456,0.9711,0.0255
"158",75.62,2762.3721,3.3,921.801,8.94,0.8887,0.9141,0.0254
"159",75.6,2723.3481,2.3,908.7921,17.82,0.8877,0.9131,0.0254
"160",75.6,2559.2412,1.4,1280.6296,11.34,1.1505,1.176,0.0254999999999999
"161",75.59,2025.9387,5.5,1013.9822,14.14,1.0423,1.0678,0.0255000000000001
"162",75.58,2172.062,-10.6,1087.0267,15.61,1.1046,1.1301,0.0255000000000001
"163",75.51,1458.7574,4.8,730.3895,15.38,0.9009,0.9263,0.0254
"164",75.5,1833.7476,-8.6,917.8732,11.72,0.965,0.9904,0.0254
"165",75.48,1825.921,6.4,913.9736,12.75,0.9629,0.9884,0.0255
"166",75.48,2285.103,-3.1,762.7059,16.27,0.8775,0.9029,0.0254000000000001
"167",75.47,2555.1855,7.2,852.7419,12.34,0.9314,0.9568,0.0254
"168",75.43,1821.9155,1.3,911.9662,9.05,0.968,0.9935,0.0255000000000001
"169",75.43,1821.9155,1.3,911.9662,9.05,0.968,0.9935,0.0255000000000001
"170",75.41,2096.8792,0.3,699.9672,8.02,0.7963,0.8217,0.0254
"171",75.33,1918.0636,-0.8,640.3613,16.18,0.842,0.8674,0.0254
"172",75.33,1777.9574,3.5,889.9891,15.74,1.0403,1.0658,0.0255000000000001
"173",75.32,1806.9662,-10.6,904.4808,15.9,1.0984,1.124,0.0256000000000001
"174",75.3,2438.2441,-1.6,1220.1274,17.43,1.1515,1.1771,0.0256000000000001
